,Authors,Author(s) ID,Title,Affiliations,Authors with affiliations,Author Keywords
332,"ngum f., alemagi d., duguma l., minang p.a., kehbila a., tchoundjeu z.",57201522288;12139710300;26767717300;14020103100;25825097100;55951265900;,Synergizing climate change mitigation and adaptation in Cameroon: An overview of multi-stakeholder efforts,"Independent Consultant, Yaoundé, Cameroon; FOKABS Inc, Ottawa, Canada; Sustainable Landscapes and Integrated Climate Actions, World Agroforestry Centre, Nairobi, Kenya; World Agroforestry Centre, Nairobi, Kenya; International Institute of Tropical Agriculture (IITA), Kinshasa, Congo; World Agroforestry Centre Regional Office, Yaoundé, Cameroon","Ngum, F., Independent Consultant, Yaoundé, Cameroon; Alemagi, D., FOKABS Inc, Ottawa, Canada; Duguma, L., Sustainable Landscapes and Integrated Climate Actions, World Agroforestry Centre, Nairobi, Kenya; Minang, P.A., World Agroforestry Centre, Nairobi, Kenya; Kehbila, A., International Institute of Tropical Agriculture (IITA), Kinshasa, Congo; Tchoundjeu, Z., World Agroforestry Centre Regional Office, Yaoundé, Cameroon",adaptation; cameroon; climate change; mitigation; synergy
333,"parkinson s., krey v., huppmann d., kahil t., mccollum d., fricko o., byers e., gidden m.j., mayor b., khan z., raptis c., rao n.d., johnson n., wada y., djilali n., riahi k.",54795677900;24332203900;37261541100;56472762200;12803129900;57120021700;56033967400;8595235300;56734386500;57118859400;55597975100;55099147100;24802127400;57195195518;55411705700;6602435618;,Balancing clean water-climate change mitigation trade-offs,"International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria; University of Victoria, PO Box 3055 STN CSC, Victoria, BC  V8W 3P6, Canada; Norwegian University of Science and Technology, Trondheim, NO-7491, Norway; University of Tennessee, 1640 Cumberland Avenue, Knoxville, TN  37996-3340, United States; Universidad Pontificia Comillas, Calle de Santa Cruz de Marcenado 26, Madrid, E-28015, Spain; ETH Zurich, John-von-Neumann-Weg 9, Zurich, 8093, Switzerland; Utrecht University, PO Box 80.115, Utrecht, 3508, Netherlands; TU Graz, Inffeldgasse 21, Graz, A-8010, Austria; Colorado School of Mines, 1500 Illinois Street, Golden, CO  80401, United States","Parkinson, S., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria, University of Victoria, PO Box 3055 STN CSC, Victoria, BC  V8W 3P6, Canada; Krey, V., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria, Norwegian University of Science and Technology, Trondheim, NO-7491, Norway; Huppmann, D., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria; Kahil, T., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria; McCollum, D., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria, University of Tennessee, 1640 Cumberland Avenue, Knoxville, TN  37996-3340, United States; Fricko, O., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria; Byers, E., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria; Gidden, M.J., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria; Mayor, B., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria; Khan, Z., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria, Universidad Pontificia Comillas, Calle de Santa Cruz de Marcenado 26, Madrid, E-28015, Spain; Raptis, C., ETH Zurich, John-von-Neumann-Weg 9, Zurich, 8093, Switzerland; Rao, N.D., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria; Johnson, N., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria; Wada, Y., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria, Utrecht University, PO Box 80.115, Utrecht, 3508, Netherlands; Djilali, N., University of Victoria, PO Box 3055 STN CSC, Victoria, BC  V8W 3P6, Canada; Riahi, K., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria, TU Graz, Inffeldgasse 21, Graz, A-8010, Austria, Colorado School of Mines, 1500 Illinois Street, Golden, CO  80401, United States",integrated assessment modeling; paris agreement; sustainable development goals; water-energy nexus
334,"grossi g., goglio p., vitali a., williams a.g.",57203126925;26633751500;12807594000;15821468200;,Livestock and climate change: Impact of livestock on climate and mitigation strategies,"Dipartimento di Scienze Agrarie e Forestali, Università della Tuscia, Viterbo, Italy; School of Water, Energy and Environment, Cranfield University, Cranfield, United Kingdom; Facoltà di Bioscienze e Tecnologie Agro-alimentari e Ambientali, University of Teramo, Italy","Grossi, G., Dipartimento di Scienze Agrarie e Forestali, Università della Tuscia, Viterbo, Italy; Goglio, P., School of Water, Energy and Environment, Cranfield University, Cranfield, United Kingdom; Vitali, A., Facoltà di Bioscienze e Tecnologie Agro-alimentari e Ambientali, University of Teramo, Italy; Williams, A.G., School of Water, Energy and Environment, Cranfield University, Cranfield, United Kingdom",climate change; greenhouse gases; livestock; mitigation
335,wi a.,57200540268;,Citizen participation as a key enabler for successful public education policies in climate change mitigation in Singapore,"Office of Graduate Studies and Professional Learning, National Institute of Education, Nanyang Technological University, Singapore","Wi, A., Office of Graduate Studies and Professional Learning, National Institute of Education, Nanyang Technological University, Singapore",bottom-up approach; climate change; climate change education policy; grassroots organisations; singapore; top-down approach
336,ahmad m.,57217287457;,Three sufi communities guarding the earth: A case study of mitigation and adaptation to climate change in Indonesia,"State Institute of Islamic Studies (IAIN), Pekalongan, Indonesia","Ahmad, M., State Institute of Islamic Studies (IAIN), Pekalongan, Indonesia",adaptation; climate change; environmental crisis and disaster; mitigation; sufism
337,"jarmul s., liew z., haines a., scheelbeek p.",57189307739;57216493773;19334435800;35318886800;,"Climate change mitigation in food systems: The environmental and health impacts of shifting towards sustainable diets, a systematic review protocol","Department of Population Health, London School of Hygiene & Tropical Medicine, London, WC1E 7HT, United Kingdom; Centre on Climate Change and Planetary Health, London School of Hygiene & Tropical Medicine, London, WC1E 7HT, United Kingdom; Department of Public Health, Environments and Society, London School of Hygiene & Tropical Medicine, London, WC1E 7HT, United Kingdom","Jarmul, S., Department of Population Health, London School of Hygiene & Tropical Medicine, London, WC1E 7HT, United Kingdom; Liew, Z., Department of Population Health, London School of Hygiene & Tropical Medicine, London, WC1E 7HT, United Kingdom; Haines, A., Centre on Climate Change and Planetary Health, London School of Hygiene & Tropical Medicine, London, WC1E 7HT, United Kingdom, Department of Public Health, Environments and Society, London School of Hygiene & Tropical Medicine, London, WC1E 7HT, United Kingdom; Scheelbeek, P., Department of Population Health, London School of Hygiene & Tropical Medicine, London, WC1E 7HT, United Kingdom, Centre on Climate Change and Planetary Health, London School of Hygiene & Tropical Medicine, London, WC1E 7HT, United Kingdom",climate change mitigation; food systems; ghg; health; land use; sustainable diets; systematic review; water use
338,"ackerman a., cave j., stillwell k.",57209027048;57209025256;57209027964;,Computation and visualization of coastal sea level rise mitigation strategies: Digital applications of scientific data to formulate design workflows for climate change,"SUNY College of Environmental Science and Forestry, Syracuse, United States; Boston Architectural College, Boston, United States","Ackerman, A., SUNY College of Environmental Science and Forestry, Syracuse, United States; Cave, J., Boston Architectural College, Boston, United States; Stillwell, K., SUNY College of Environmental Science and Forestry, Syracuse, United States",climate change; erosion; sea level rise; simulation; waveform
339,"aboelnaga s., tóth t., neszmélyi g.i.",57209269853;51061533300;57193603315;,Climate change hazards mitigation policies in the frame of the administration levels in Egypt,"Szent István University, Hungary; Urban Regional Development Dep., Faculty of Urban and Regional Planning, Cairo University, Egypt; Institute of Regional Economics and Rural Development, Szent István University, Páter Károly str. 1., Gödöllo, 2100, Hungary; Institute of Commerce, Budapest Business School, University of Applied Sciences, Markó str. 29-31, Budapest, 1155, Hungary","Aboelnaga, S., Szent István University, Hungary, Urban Regional Development Dep., Faculty of Urban and Regional Planning, Cairo University, Egypt; Tóth, T., Institute of Regional Economics and Rural Development, Szent István University, Páter Károly str. 1., Gödöllo, 2100, Hungary; Neszmélyi, G.I., Institute of Commerce, Budapest Business School, University of Applied Sciences, Markó str. 29-31, Budapest, 1155, Hungary",adaptation; administration; climate change; egypt; mitigation
340,kreslake j.m.,13406515400;,Perceived Importance of Climate Change Adaptation and Mitigation According to Social and Medical Factors among Residents of Impacted Communities in the United States,"FHI 360, 1825 Connecticut Avenue, NW, Washington, DC  20009, United States","Kreslake, J.M., FHI 360, 1825 Connecticut Avenue, NW, Washington, DC  20009, United States",climate change; health equity; public health practice
341,"nedonekin f., shestavin n., yurchenko v.",57214089124;57211759929;57211741940;,Prospects of implementation of carbon dioxide capture and geological storage technologies in the donbass for mitigation of the effects of climate change,"Donetsk National University, Donetsk, Ukraine; Donetsk Institute for Physics and Engineering, Donetsk, Ukraine","Nedonekin, F., Donetsk National University, Donetsk, Ukraine; Shestavin, N., Donetsk National University, Donetsk, Ukraine; Yurchenko, V., Donetsk National University, Donetsk, Ukraine, Donetsk Institute for Physics and Engineering, Donetsk, Ukraine",carbon dioxide; climate change; emission; environmental risks; geological storage
342,"jones c., gilbert p., stamford l.",57192238980;36716098700;57210774659;,Assessing the Climate Change Mitigation Potential of Stationary Energy Storage for Electricity Grid Services,"Tyndall Centre for Climate Change, Department of Mechanical, Aerospace and Civil Engineering, University of Manchester, Manchester, M13 9PL, United Kingdom; Zero Waste Scotland, Stirling, FK8 1QZ, United Kingdom; Sustainable Industrial Systems, Department of Chemical Engineering and Analytical Science, University of Manchester, Manchester, M13 9PL, United Kingdom","Jones, C., Tyndall Centre for Climate Change, Department of Mechanical, Aerospace and Civil Engineering, University of Manchester, Manchester, M13 9PL, United Kingdom; Gilbert, P., Tyndall Centre for Climate Change, Department of Mechanical, Aerospace and Civil Engineering, University of Manchester, Manchester, M13 9PL, United Kingdom, Zero Waste Scotland, Stirling, FK8 1QZ, United Kingdom; Stamford, L., Sustainable Industrial Systems, Department of Chemical Engineering and Analytical Science, University of Manchester, Manchester, M13 9PL, United Kingdom",
